"survey","","Only children under five are excepted from this survey.","This survey is the work of a real professional.","Follow-up survey shows that the reoccurrence rate is only 5%.","They surveyed the east coast from a helicopter.","She surveyed herself in a mirror.","I'll have to get the house surveyed first, before I can make you an offer."
"n. 调查; 纵览, 视察, 测量
vt. 审视, 视察, 通盘考虑, 调查; 勘测
vi. 测量, 勘测","","这次调查仅仅不包括五岁以下的儿童.","这份调查是真正内行人做的.","跟踪调查表明复发率仅为5%。","他们从直升飞机上勘测了东海岸。","她在镜中端详自己。","我先得请人检查一下这房子,然后才能给你开一个价。"

"add up","","Let's add up the pros and cons.","You'll have to go over these figures again, they don't add up.","His story just doesn't add up he must be lying.","At the exits polite assistants will take the goods and add up the cost.","Add up they're add up.","Add up 3, 4 and 5 and you'll get 12
                                                        
                                                    "
"vt. 合计达(总而言之,加起来,合计)","","咱们把正反两方面的意见总结一下吧.","你必须再核对一下这些数字, 总数不符.","他说的前後不一致--一定撒谎了.","在出口处, 客气的服务员把你的商品接过去, 把价钱加在一起。","总而言之他们是相符的。","把三、四、五相加,总数是十二。"

"upset","","Larry is suffering from an upset stomach.","Her refusal to help quite upset the applecart.","Last-minute changes caused a great deal of upset.","Rain upset our plans for a picnic.","she found out he was upset about it , she should've backed off
                                                        
                                                    "
"adj. 心烦的，沮丧的
vt. 加厚,推翻,扰乱
vi. 推翻
n. 推翻,混乱","","拉里现在胃不舒服。","她不肯帮忙，计划也就落空了。","临时变动导致一片混乱。","下雨打乱了我们的野餐计划。","她看得出他对这块不开心，她就应该让步。"

"ignore","","They can't ignore me forever.","The wisest course would be to ignore it.","He's his own man, but he doesn't ignore advice.","I agree in principle, but we can't ignore the differences.","you should not ignore his plea ,or you will mortify the tribe
                                                        
                                                    ","His letters were ignored."
"vt. 不顾,不理,忽视","","他们不能老是不理我","上上策是不予理睬.","他虽然自有主张，但并不轻视别人的意见。","我原则上同意，但我们不能忽视这些差异。","你不应该忽视他的请求，否则你会伤害他们部落的感情","他的信无人理会。"

"calm","","Her attempts to calm them down only made matters worse.","The calm sea gave no hint of the storm that was coming.","You should keep calm even in face of danger.","Say anything in calm and earnest way
                                                        
                                                    ","Don't flush ,you should keep calm
                                                        
                                                    ","calm acceptance of the inevitable."
"n. 平稳,风平浪静
adj. 平静的,冷静的
vt./vi. 平静下来,镇静","","她设法使他们平静下来, 不想却适得其反.","平静的海上没有一点迹象显示暴风雨即将来临.","即使面临危险，你也应当保持镇静。","要用冷静和热心的方式说话","不要脸红，你得保持冷静","平静地接受这不可避免的事实。"

"calm down","","Just calm down a bit!
                                                        
                                                    ","Calm down it's nothing to get steamed up about!
                                                        
                                                    ","Calm down there's no need to get into a lather about it!
                                                        
                                                    ","please calm down
                                                        
                                                    ","Calm down, I' ve said I' m sorry."
"vt. 平静下来(镇定下来)","","你先静一静!","冷静一点--没什麽可激动的!","冷静些--没有必要为这件事动肝火!","请冷静","别生气了，我说过对不起了。"

"have got to","","It's time for you to be going home, so you'd better hop along, or your parents will wonder where you have got to.","I couldn't have got to the meeting on time -- unless I had caught an earlier train.","He have got to clean the houes because it look like dirty
                                                        
                                                    ","i have got to go home
                                                        
                                                    "
" 不得不，必须","","你该回家了，现在就走吧！要不然你父母又不知道你到哪儿去了。","我不可能及时赶到会场，除非我赶上了较早的一班火车。","他不得不打扫房子因为它看起来很脏了","我必须回家"

"concern","","How much money I earn is none of your concern.","This restaurant is a family concern.","These problems concern all of us.","It doesn't concern me at all.","It doesn't concern me at all.","Our losses are beginning to concern me."
"vt. 涉及, 影响, 关心
n. 关心, 忧虑, 关心的事; 公司, 企业","","我挣多少钱与你无关。","这家饭店是由一家人经营的。","这些问题影响到我们每一个人。","这事和我一丁点关系都没。","此事与我毫不相干。","我们的损失使我担心起来。"

"be concerned about","","Please don't be concerned about me.","The government's claim to be concerned about unemployment is sheer hypocrisy.","He is concerned about his son's study.","Please don't be concerned about me
                                                        
                                                    ","I'm really concerned about your health."
" 关心，挂念","","请不要为我担心。","政府声称对失业表示关注纯属做做姿态。","他关心他儿子的学习。","请不要为我担心。","我真的很担心你的健康。"

"walk the dog","","I often walk the dog at night.","I walk the dog everyday
                                                        
                                                    ","We resolve to get up earlier each morning, eat less, find more time to play with the children, do a thousand and one jobs about the house, be nice to people we don't like, drive carefully, and take the dog for a walk / walk the dog every day."
" 溜狗","","我常在夜晚遛狗。","我每天都会遛狗","我们决心每天早晨起得早些；吃得少些；多花点时间与孩子们一起做游戏；做大量的家务；对不喜欢的人友善一些；小心驾车；每天都要带着狗散步；等等。（50-04）"

"loose","","Come and see us if you're at a loose end.","The guard loosed the dogs when the burglar alarm went off.","I daren't let Bill loose on the garden he'd pull up all the flowers.","If a tooth feels very loose, your dentist may recommend that it's taken out.","Frank emptied a handful of loose change on the table.","She wore loose garments in the summer."
"n. 解放, 放任, 放纵
adj. 宽松的, 不牢固的, 不精确的
v. 释放, 放枪, 开船","","闲著的时候到我们这儿来坐坐。","防盗警报器一响，警卫就放出了警犬。","我不敢把比尔放到花园去－－他会把花全都拔掉的。","如果有颗牙齿非常松动，你的牙医可能会建议拔掉它。","弗兰克将一把零钱全部放在了桌子上。","她在夏天穿宽松的衣服。"

"vet","","Injecting animals is all in a day's work for a vet.","A vet dispatched the injured horse.","The vet jabbed (at) the dog with a needle.","The recruits were thoroughly vetted before they were allowed into the secret service.","i have to take my grandmother to the vet
                                                        
                                                    "
"n. 兽医，老兵
vt. 诊疗，审查
vi. 作兽医","","给动物注射是兽医的日常工作.","兽医把那匹受伤的马杀死了.","兽医给狗扎针.","情报机关招募的新成员要经过严格的审查。","我要带我的奶奶看兽医2.2.，3.10"

"go through","","He was going through a very difficult time.","He's amazingly cheerful considering all that he's gone through.","I've gone through the elbows of my sweater.","go through the plans
                                                        
                                                    ","The service feels Cambodians who have gone through the experience might be able to help
                                                        
                                                    "
"phrase 参加；经受；仔细检查","","他在经历一段非常艰难的时期。","鉴于他经历的种种遭遇，他的乐天达观令人惊叹。","我的毛衣的肘部都磨破了。","详细讨论这些计划","柬埔寨人经历过这些事情应该可以提供帮助"

"Amsterdam","","The last leg of the trip go from paris to the final destination, Amsterdam.","Since leaving Paris, we've visited Brussels and Amsterdam.","Amsterdam is a city of holland.","we are visiting Amsterdam."
"n. 阿姆斯特丹[荷兰]","","最后一段旅程是从巴黎到最终目的地阿姆斯特丹。","自从离开巴黎后, 我们参观了布鲁塞尔和阿姆斯特丹。","阿姆斯特丹是荷兰的一个城市。","我们正在参观阿姆斯特丹。"

"Netherlands","","The capture of Brill must rank as a turning-point not only in Netherlands history but in world history: an event of the order of the fall of the Bastille, or the execution of Charles I.","A section of the Meuse River flowing westward through the southern Netherlands to a joint delta with the Rhine River.","An economic union of Belgium, the Netherlands, and Luxembourg, originally established as a customs union in1948.","I know nothing about Netherlands.","I love Netherlands because I love its football team.","an ecnomic union of belgium,the Netherlands,and luxmbourg,originally established as a customs union in 1948."
"n. 荷兰[国家]","","擒获布里尔不仅在荷兰历史上而且在世界历史上都应视为一个转折点—一个和攻克巴斯底狱或绞死查理士一世一样的重大事件。","马斯河默兹河的一部分, 向西流经荷兰南郊与莱茵河相汇而形成一片冲积三角洲","比荷卢经济联盟比利时、荷兰和卢森堡的经济联盟, 1948年作为一个关税联盟建立","对于荷兰我一无所知","我爱荷兰因为我爱荷兰队。","比荷卢经济联盟，1948年作为一个关税联盟建立"

"Jewish","","The ceremonial headdress worn by ancient Jewish high priests.","The Jewish nation is scattered around the world.","Jewish culture is famous.","The Jewish nation is scattered around the world.","It is a jewish dish."
"adj. 犹太人的","","大祭司冠古代犹太祭司长的正式头饰","犹太民族散居於世界各地.","犹太人的文化很著名。","犹太民族散居於世界各地.","这是一道犹太菜。"

"German","","She was German by birth but is now of French citizenship.","He was born of German parents.","They supported Japan's take over of all the former German interests in Shandong Province.","We learn French and German at school.","I am not German.","She is German."
"adj. 德国(人)的,德语的,日耳曼的
n. 德国人,德语,日耳曼人","","她在德国出生但现在是法国国籍。","他的父母是德国人.","他们支持日本接管德国以前在山东省的所有权益。","我们在学校里学法语和德语。","我不是德国人。","她是一个德国人。"

"Nazi","","The POWs burst out from(of) that Nazi concentration camp one night.","For many years they warred against Nazi Germany.","Additional territory deemed necessary to a nation, especially Nazi Germany, for its continued existence or economic well-being.","the pows brust out form the nazi concentration camp one night
                                                        
                                                    ","Nazi Germany nearly swallowed up the whole Europe in World War Ⅱ.","an infamous sign over the entrance to the Nazi German concentration camp at Auschwitz has been stolen."
"n. 纳粹党人
adj. 纳粹党的","","一天夜里战俘们冲出了那个纳粹集中营。","他们同纳粹德国作战长达几年。","生存空间被认为对一民族, 尤指纳粹德国的继续生存或经济富足所必需的额外领土","the POWs brust out from the nazi concentation camp one night","第二次世界大战中，纳粹德国几乎吞并了整个欧洲。","纳粹德国奥斯维辛集中营大门上的一块臭名昭著的牌子被偷了"

"set down","","Why don't you set your ideas down on paper?
                                                        
                                                    ","The bus stopped to set down an old lady.","I will set down the story as it was told to me.","He set down the empty glass.","I have set down what you have said.","The desk was set down before the window."
" 1. (使)放下2. 制定, 确定3. 降落4. (叫…)下车5. 记下","","你怎麽不把你的想法写在纸上呢?","公共汽车停下来让一个老太太下车。","我要把这听来的故事原原本本地记下来。","他放下空酒杯.","我已记下你说的话","把书桌放在窗前。"

"series","","A series of lucky accidents led the explorer to his discovery.","They are launching out into a series of scientific experiments.","In the 19th century, a novelist would bring his story to a conclusion by presenting his readers with a series of coincidences -- most of them wildly improbable.","A series of things make him afraid
                                                        
                                                    "
"n. 系列，连续","","这位探险家的发现是由于一连串的侥幸.","他们正在着手进行一系列科学试验.","在19世纪，小说家常在小说结尾处给读者准备一系列的巧合--大部分是牵强附会，极不可能的。 (L36-02)","一系列的事情让他害怕"

"a series of","","The student always asks his teacher a series of questions.","The business cycle is a series of peaks and troughs.","The company has phased in a series of new production plans.","The Romans left in 410, at the beginning of the fifth century, and from then onwards the country suffered a series of invasions by tribes from present-day Germany and Denmark, the Angles, Saxons and Jutes, many of whom settled in the East End.","the mother alwory a series of my boyfriend about family question
                                                        
                                                    ","The student alawys asks his teacher a series of question."
" 一系列, 一连串","","这个学生总是问他老师一连串的问题。","商业周期就是淡旺期交替。","这家公司已采用了一系列新的生产计划.""Kitty","","Kitty used to be very critical of the way we raised our children, but when she became a mother herself she began to change her tune.","The kitty licked up the milk.","The kitty is playing with a ball.","She has a cute kitty.","But with no more money in the kitty that could mean schools in rich areas getting less."
"n. 凯蒂（女名）
n. 小猫","","基蒂对我们抚育孩子的方式一向吹毛求疵, 但是她当了母亲之后, 就开始改变她的腔调了。","小猫舔光了牛奶。","小猫正在玩球。","她有一只可爱的小猫。","但是如果公共储金里没有资金的话，就意味着富裕地区的学校会得到更少。"

"outdoors","","There is intolerable noise outdoors.","She's outdoors gardening every afternoon.","Children of all ages should be outdoors several hours a day.","walking outdoors for fresh air
                                                        
                                                    ","walking outdoors for fresh air.","they are talking about the weather outdoors
                                                        
                                                    "
"adv. 在户外地, 在野外地
n. 露天, 野外","","门外是难以忍受的嘈杂声。","她每天下午都在户外搞园艺.","各个年龄段的孩子每天都应户外活动几个小时。","走到露天呼吸新鲜空气","走到露天呼吸新鲜空气","他们在外面谈论天气"

" spellbind","","The vampire craze, which continues to spellbind popular culture, apparently isn't ready to leave the big screen anytime soon.","Don‘t spellbind me
                                                        
                                                    ","something that is spellbinding is so interesting that it holds your attention completely
                                                        
                                                    "
"v. 吸引, 迷惑","","继续吸引流行文化的吸血鬼热潮，显然近期内不准备离开银幕。","别诱惑我","迷人的，使人入迷的。"

"on purpose","","Did he break it accidentally? No, on purpose.","She seems to do these things on purpose.","Did he break it accidentally? No,on purpose.","He broke the window on purpose."
" 故意, 有意","","他是无意中损坏的吗？不, 是故意的。","她似乎是有意地做这些事。","Did he break it accidentally? No,on purpose.","他故意打破了窗户。"

"in order to","","He lit a cigarette in order to calm his mind.","We have fought scores of battles in order to win victory.","She stinted herself of food in order to let the children have enough.","in order to pass the exam ,you need to learn hardly
                                                        
                                                    ","In order to change attitudes towards employing women,the government is bringing in new laws.","he works hard in order to getting a big house
                                                        
                                                    "
