Unit,Cubit is an ancient unit of length.,This textbook has twenty units.,There's a rumour floating around of a new job in the unit.,,,,,,,,,
"n. 单位, 单元",腕尺是古代的一种长度单位。,这本课本有二十单元。,这个部门盛传有个新工作要聘人.,,,,,,,,,
,,,,,,,,,,,,
cultural,Many unearthed cultural relics were exhibited at the museum.,These are the cultural legacies of the Renaissance.,By definition the capital is the political and cultural center of a country.,,,,,,,,,
"adj. 文化的,和养动植物有关的",博物馆展出了许多出土文物。,这些是文艺复兴时期的文化遗产。,"根据定义,首都是一个国家的政治文化中心。",,,,,,,,,
,,,,,,,,,,,,
relic,"The relic, when exposed to air, turned to dust.",Corporal punishment was a relic of barbarism.,This ruined bridge is a relic of the Civil War.,,,,,,,,,
"n. 神圣的遗物, 遗迹, 纪念物",接触到空气后，这件文物变成了灰烬。,体罚是野蛮的文化的遗风遗俗。,这座毁坏的桥是南北战争时的遗迹。,,,,,,,,,
,,,,,,,,,,,,
rare,It is rare to find such a genius nowadays.,A collector of rare insects will show us some of his latest discoveries.,Parliament has passed an Act forbidding the killing of rare animals.,,,,,,,,,
"adj. 稀罕的, 罕见的, 珍贵的",这样的天才现在很少见。,一位稀有昆虫采集家将给我们看一些他的最新发现。,"国会通过了一项法令, 禁止捕杀珍稀动物。",,,,,,,,,
,,,,,,,,,,,,
valuable,The flaw in this vase makes it less valuable.,Real friendship is more valuable than money.,We are sending you some money in acknowledgement of your valuable help.,,,,,,,,,
"adj. 贵重的, 有价值的
n. (pl.)贵重物品",这个花瓶因为有点缺陷，不那么值钱了。,真正的友谊比金钱更宝贵。,我们送些酬劳，对您的大力协助聊表谢意。,,,,,,,,,
,,,,,,,,,,,,
survive,The urge to survive drove them on.,You need to be tough to survive in the jungle.,If the industry doesn't modernize it will not survive.,,,,,,,,,
"vt. 比…活得长,幸免于难,艰难度过
vi. 活着, 继续存在",求生的欲望驱使他们继续努力.,要在丛林中活下来就要有坚忍不拔的意志.,该制造业若不现代化就不能继续存在.,,,,,,,,,
,,,,,,,,,,,,
vase,The flaw in this vase makes it less valuable.,The broken vase lay in shatters.,That's an alabaster vase.,,,,,,,,,
n. 花瓶,这个花瓶因为有点缺陷，不那么值钱了。,那只打碎了的花瓶的碎片撒了一地。,那是个雪花石膏做的花瓶。,,,,,,,,,
,,,,,,,,,,,,
dynasty,The Tang Dynasty is a period remarkable for its liberality.,Erect a dynasty.,The Qing Dynasty ceded Hong Kong to Britain.,,,,,,,,,
"n. 朝代, 王朝",唐朝是一段以开明著称的时期。,建立一个朝代,清王朝把香港割让给了英国。,,,,,,,,,
,,,,,,,,,,,,
dragon,The contour of that mountain looks like a dragon.,This jade dragon is a genuine antique.,In dragon boat rowing each person has one oar.,,,,,,,,,
n. 龙，严厉的人,那座大山的轮廓看上去像一条龙。,这件玉龙是真正的古玩。,划龙舟时每个人都拿着一枝桨。,,,,,,,,,
,,,,,,,,,,,,
amber,Amber is the resin of pine trees that grew very very long ago.,an amber necklace.,Amber satin and white lace are exactly what she desires.,,,,,,,,,
"n. 琥珀色,琥珀
adj. 琥珀色的,琥珀的",琥珀是古老的松脂。,一条琥珀项链,琥珀色的缎子和白色的饰带正是她所想要的。,,,,,,,,,
,,,,,,,,,,,,
in search of,He's sailed the seven seas in search of adventure.,The scientists are in search of a new element.,Migrant workers move from country to country in search of work.,,,,,,,,,
" 寻找, 寻求",他闯荡七大洋去历险.,科学家们正在寻找一种新元素。,"流动工人为寻找工作,从一个国家迁移到另一个国家.",,,,,,,,,
,,,,,,,,,,,,
amaze,Marry believed her son had genius that would amaze the world.,This campaign strikes amaze into men.,He amazed me by his audacity.,,,,,,,,,
v. 使吃惊,索菲相信自己的儿子拥有让世人惊奇的天赋。,这一次战役使人震骇。,他的无理让我惊骇。,,,,,,,,,
,,,,,,,,,,,,
amazing,"Oh, that's amazing!
                                                        
                                                    ","How amazing!
                                                        
                                                    ",Crusoe eventually returned to English to tell his amazing story.,,,,,,,,,
adj. 令人惊异的,哦，真叫人惊异!,真惊人!,克鲁索最终回到了英国，向他人讲述自己的神奇的故事。 ,,,,,,,,,
,,,,,,,,,,,,
select,Our shops select only the very best quality produce.,She selected a diamond ring from the collection.,This is a very select area; you have to be rich to live here.,,,,,,,,,
"adj. 精选的
n. 被挑选出来的人或物
v. 选择
vi. 选择,挑选,选拔
vt. 选择,挑选",我们商店都是精选的质量最高的产品.,她从收藏品中挑选了一枚钻石戒指。,这是高级住宅区，你必须有钱才能住在这里。,,,,,,,,,
,,,,,,,,,,,,
honey,Honey can substitute for sugar in this recipe.,"No bees, no honey; no work, no money.",a honey of a car.,,,,,,,,,
"adj. 蜂蜜似的,深爱的
n. (复数)蜂蜜,宝贝,爱人
vt. 加蜜使甜,对...说甜言蜜语
vi. 说甜言蜜语,奉承","在这个食谱中, 可用蜂蜜代替食糖.",【谚】无蜂则无蜜，不劳则无酬。,一辆上乘的小车,,,,,,,,,
,,,,,,,,,,,,
design,The route was designed to relieve traffic congestion.,His evil designs were frustrated.,The gloves were designed for extremely cold climates.,,,,,,,,,
"vt./vi. 设计； 绘制
vt. 设计； 计划； 企图； 决意（做）
n. 设计； 图案； 结构； 计划
vi. 设计略图； （为工艺品、装潢项目等）设计； 当设计师； 构思",这条路是为缓解交通拥挤而开辟的。,他的罪恶企图未能得逞。,这些手套是为严寒地区制造的。,,,,,,,,,
,,,,,,,,,,,,
fancy,"The painting took his fancy, so he bought it.",a fancy hat.,I don't fancy going all that way in such bad weather.,,,,,,,,,
"n. 想象力, 幻想, 喜好, 爱
adj. 想象的, 时髦的, 华丽装饰的, 奢侈的, 技巧的
vt. 想象, 自认为, 喜好",这幅画被他看中了，所以他就把他买了下来。,精美的帽子,我不喜欢在这样的坏天气里一直这么走着。,,,,,,,,,
,,,,,,,,,,,,
style,She performs the songs with style and flair.,The piano gives the room a touch of style.,"Has he any right to use the style of Colonel?
                                                        
                                                    ""decorate",,,,,,,,,
"vt. 装饰, 装修, 授予某人奖章或其他奖状",数名士兵因英勇而受嘉奖。,我们装饰房屋过圣诞节。,我买了一个花瓶来装饰我的房子,,,,,,,,,
,,,,,,,,,,,,
jewel,Virtue is a jewel of great price.,He spent important money on a small jewel for his wife.,The book is the jewel of his collection.,,,,,,,,,
"n. 宝石
v. 镶以宝石",【谚】美德是无价之宝。,他花大笔钱购买小小的宝石给太太.,这本书是他藏书中最珍贵的一本。,,,,,,,,,
,,,,,,,,,,,,
artist,The vital spark in him makes him an artist.,The artist showed me his canvases.,She is a consummate artist.,,,,,,,,,
"n. 艺术家, 美术家, 艺人",他的生气勃勃的活力使他成为一个艺术家。,画家给我看了他的油画。,她是个技艺高超的艺术家。,,,,,,,,,
,,,,,,,,,,,,
belong,A napkin belongs at every place setting.,"What party do you belong to?
                                                        
                                                    ",That dictionary belongs to me.,,,,,,,,,
vi. 属于，适合于,餐巾对每一席位都适合,你属于哪一党派？,那本字典是属于我的。,,,,,,,,,
,,,,,,,,,,,,
belong to,I belong to Glasgow.,Alder trees belong to the birch family.,"Do wolves belong to the canine species?
                                                        
                                                    ",,,,,,,,,
vt. 属于(为...之一员),我是格拉斯哥人.,赤杨属于桦木科。,狼是犬科动物吗？,,,,,,,,,
,,,,,,,,,,,,
in return,I bought him a drink in return for his help.,I'll let you borrow it on one condition that you lend me your bicycle in return.,I gave her a doll in return.,,,,,,,,,
" 作为回报,作为报答",我请他喝酒以酬谢他的帮助.,"我借给你也行, 但有个条件, 你得把你的自行车借给我.",作为回报，我给了她一个娃娃。,,,,,,,,,
,,,,,,,,,,,,
troop,The troop made good their retreat from the occupied city.,The troop ships were convoyed across the Atlantic.,The enemy made a thrust against our troop.,,,,,,,,,
"n. 群,组,军队,大量,童子军
vi. 群集,结队,成群前行,陪伴",部队从沦陷的城市安全撤出。,运兵船被护送渡过大西洋。,敌人向我军发动了袭击。,,,,,,,,,
,,,,,,,,,,,,
reception,They gave the Prime Minister a cool reception.,A reception was held in honor of the new director.,Reception of TV programmes is unsatisfactory here.,,,,,,,,,
"n. 接待,招待会,接收,欢迎,接受",他们很冷淡地接待了这位首相.,举行酒会来欢迎新主任。,这里电视节目的接收情况不佳。,,,,,,,,,
,,,,,,,,,,,,
at war,Their love affair was played out against the background of a country at war.,The country has been at war with its neighbour for two years.,The two sisters are constantly at war with each other.,,,,,,,,,
" 处于战争状态, 在交战中",他们恋爱那时国家正进行著战争。,这个国家与邻国已打了两年仗了。,这两姐妹不时发生争执。,,,,,,,,,
,,,,,,,,,,,,
remove,"When the meat is boiling, remove the scum.","How can we remove the husk of the grains?
                                                        
                                                    ",He removed the mud from his shoes.,,,,,,,,,
"n. 间距, 移动
vt. 除去,开除, 移动, 取下, 拿走
vi. 迁徙,离开,搬迁",当肉煮沸时，把浮在上面的浮渣撇掉。,我们怎样去掉谷物的外皮？,他去掉鞋上的泥。,,,,,,,,,
,,,,,,,,,,,,
less than,We won no less than 500 in a competition.,The whole house went up in smoke in less than an hour.,We shan't let our house go for less than 50000.,,,,,,,,,
" 不到, 少于",我们在一场比赛中赢了多达500英镑。,整座房子不到一个小时就烧光了。,我们的房子低於50000英镑不卖。,,,,,,,,,
,,,,,,,,,,,,
wooden,"How can I enlighten your wooden head?
                                                        
                                                    ",The floor was made of wooden blocks.,The roof of the tunnel was supported by wooden props.,,,,,,,,,
adj. 木制的，生硬笨拙的,我怎么才能让你这木头疙瘩开窍呢？,地板是用木块拼成的。,坑道顶用木柱支撑。,,,,,,,,,
,,,,,,,,,,,,
doubt,She was beyond all doubt the finest ballerina of her day.,"No doubt he means to help, but in fact he just gets in the way.",He was troubled by religious doubt.,,,,,,,,,
"n. 怀疑,疑惑,不信任
vt. 怀疑,不信任
vi. 不确定",她无疑是她那个时代最优秀的芭蕾舞演员。,他确实是想帮忙，然而事实上却只是帮倒忙。,他因对宗教的疑惧而十分烦恼。,,,,,,,,,
,,,,,,,,,,,,
mystery,How he got in is a mystery.,It's an insoluble mystery.,His past is enveloped in a shroud of mystery.,,,,,,,,,
"n. 神秘,秘密,神秘的人或事物",他是怎样进去的是一个谜。,那是无法解释的奥秘。,他过去的经历笼罩着神秘气氛。,,,,,,,,,
,,,,,,,,,,,,
former,It was more in sorrow than in anger that he criticized his former colleague.,"Jane and Mary are good friends; the former is a teacher, the latter is a nurse.",He is too proud now to be seen with his former friends.,,,,,,,,,
"adj. 以前的,在前的
pron./n. 前者","他批评以前的同事, 并非出於气愤而是为他惋惜.",珍和玛丽是好朋友，前者是老师，后者是护士。,他现在忘乎所以了，觉得跟以前的朋友在一起有失他的脸面。,,,,,,,,,
,,,,,,,,,,,,
worth,"The thief ran off down the road, so I chased him for all I was worth.",The house is worth a lot of money.,Whatever is worth doing at all is worth doing well.,,,,,,,,,
